#Romname;bezelfilename;xtopleftcorner,ytopleftcorner,widthhole,heighthole
dkong;donkey_kong_bezel.png;995;570;2010;2680
dkongx;donkey_kong_bezel.png;995;570;2010;2680
dkongpe;dkongpe_bezel.png;995;570;2010;2680
ckongpt2;congorilla_bezel.png;1032;769;1890;2520
invaders;invaders_bezel_midway.png;1300;1365;1308;1744
popeye;popeye.png;800;878;2460;1845
robotron;robotron_bezel_us.png;712;671;2600;1950
shuuz;Background - Vaughn Hzt (2).png;400;540;3270;2444
simpsons;Bezel - Griffin518 Hzt (1).png;277;41;1366;1007
tapper;tapper_bezel.png;575;671;2880;2160
rbtapper;rootbeer.png;631;660;2768;2076
ghostb3;ghostbusters_bezel.png;645;935;2720;2040
meikyuh;ghostbusters_bezel.png;645;935;2720;2040
jungleh;jungle_king_bezel.png;647;1272;2680;2010
elim4;eliminator_bezel.png;677;864;2600;1950
chasehq;chasehq_bezel.png;577;530;2840;2130
bbros;buster_bros_bezel.png;657;988;2680;2010
lazarian;lazarian.png;720;595;2612;1959
ledstorm;led_storm_bezel.png;975;641;2040;2720
maketrax;maketrax.png;1019;632;1980;2640
narc;narc_bezel.png;410;1260;3124;2343
gaiden;ninja_gaiden_bezel.png;640;982;2720;2040
qix2;qix_bezel.png;905;618;2190;2920
stratvox;stratvox.png;959;595;2100;2800
brix;zzyzzyxx_bezel.png;1080;315;1860;2480
demoderbc;demoderby_4player_bezel.png;400;232;3200;2400
tron;tron.png;912;200;2175;2900
seawolf;seawolf_bezel.png;1000;412;2000;1500
seawolf2;seawolf2_bezel.png;1169;261;1660;1245
phoenix;phoenix_taito_bezel.png;965;936;2100;2800
astdelux;asteroids_deluxe_bezel.png;832;284;2336;1752
polepos2a;poleposition_2_cockpit.png;761;825;2480;1860
superbug;superbug.png;740;760;1920;2560
radm;radmobile_bezel.png;680;652;3320;1980
pacman;pacman_bezel_upright.png;976;761;2040;2720
turbo;turbockpt.png;1465;290;1785;2380
piranha;puckman_kenophone.png;976;761;2040;2720

10yard;10_yard_fight_bezel.png;519;1107;2960;2220
gtmr;gtmr_bezel.png;460;856;3080;2310
1942;1942_bezel.png;1036;647;1860;2480
1943;1943.png;1017;663;1950;2600
280zzzap;280zzzap_bezel.png;1131;1350;2340;1755
apb;apb_bezel.png;1025;700;1950;2600
airwolf;airwolf.png;735;940;2520;1890
alcon;alcon_bezel.png;980;813;1800;2400
aliensyn;alien_syndrome_bezel.png;660;989;2680;2010
alpine;alpine.png;920;696;2160;2880
altbeast;altered_beast_bezel.png;655;718;2680;2010
maze;maze_bezel.png;676;1312;2240;1680
amspdwy;amspeedway_bezel.png;640;1052;2720;2040
amidar;amidar_bezel.png;996;607;2010;2680
cadanglr;deco_bezel_1.png;970;745;2100;2800
arabian;arabian_bezel.png;1080;801;1800;2400
archrivl;arch_rivals_bezel.png;727;458;2560;1920
armora;armor_attack_bezel.png;786;1029;2560;1920
armorcar;armored_car_bezel.png;1037;642;1920;2560
asteroid;asteroids_bezel.png;752;660;2512;1884
astrob;astro_blaster_bezel.png;912;1607;1680;2240
astron;astron_belt_bezel.png;222;244;3280;2460
avalnche;avalnche_bezel.png;745;1580;2420;1815
aztarac;aztarac_bezel.png;600;430;2800;2000
baddudes;baddudes_bezel.png;751;979;2500;1875
badlands;badlands_bezel.png;649;947;2720;2040
barricad;barricade_bezel.png;800;592;2400;1800
barrier;barrier_bezel.png;872;1126;1584;2112
bsktball;atari_basketball_bezel.png;640;1028;2720;2040
berzerk;berzerk_bezel.png;604;740;2800;2100
bbonk;bbonkers_bezel.png;938;684;2120;1590
blktiger;blacktiger_bezel.png;682;991;2640;1980
